service_date,route_id,observed_service_hours,total_observations,observation_cv,coverage_band,stability_band,valid_row_percentage,eligibility_status
2026-05-08,6727,3,883,0.3158,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6728,3,1814,0.3979,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6730,3,694,0.6598,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6737,3,1083,0.4945,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6738,3,1951,0.3408,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6741,3,979,0.5298,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6747,3,399,0.7664,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6748,3,1232,0.4198,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6749,3,1468,0.4332,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6776,2,99,0.8142,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6779,3,272,0.2317,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6780,3,260,0.1763,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6790,3,167,0.1971,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6796,3,540,0.231,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6799,3,326,0.178,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6800,2,222,0.3567,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6806,3,320,0.3425,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6811,3,256,0.1595,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6817,3,491,0.1712,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6818,3,282,0.2454,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6819,3,493,0.8072,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6821,3,1078,0.5025,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6822,2,271,0.7984,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6828,3,245,0.4316,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6843,2,81,1.065,Low Coverage,Volatile,100.0,Not Eligible
2026-05-08,6844,1,62,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,7224,1,112,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,7321,3,790,0.5351,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,7322,1,34,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,8290,3,460,0.6943,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,11201,2,313,0.61,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,11692,2,259,0.9119,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,12940,2,148,0.9747,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,16717,2,520,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,16718,2,556,0.8088,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,16719,2,123,0.9543,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,17707,2,104,0.1632,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,18705,2,260,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,20667,2,130,0.4134,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,22638,2,372,0.8896,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,23384,2,812,0.7733,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,29038,2,245,0.8832,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30036,2,126,0.8979,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30037,2,82,0.8968,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30038,2,108,1.1785,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,30039,2,143,1.0582,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,30040,2,132,0.4714,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,30043,2,212,0.8005,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30044,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30046,2,380,0.9006,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30047,2,128,0.8397,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30048,2,156,1.0879,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,30049,2,94,0.2708,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,30050,2,157,0.6215,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30051,1,4,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,30055,2,458,0.8584,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,30584,2,97,0.7436,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,31818,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,31819,2,213,0.8034,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,32799,2,290,0.9656,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,33292,2,262,0.7449,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,33538,2,295,0.7526,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,34540,1,10,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,34542,2,390,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,34543,2,155,0.5748,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,36799,2,77,0.8265,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,37807,2,943,0.8593,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,37808,2,569,0.9569,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,37809,2,598,0.9081,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,37810,2,852,0.8963,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,38311,2,636,0.9117,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,39307,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,40855,2,260,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,46099,2,194,0.8602,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,46604,2,639,0.9052,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6612,2,647,0.9115,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6613,2,855,0.8816,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6614,2,604,0.8757,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6615,2,420,0.6869,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6616,2,442,0.9407,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6617,2,1012,0.9,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6618,2,780,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6619,2,880,0.9192,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6620,2,578,0.8515,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6621,2,264,0.6643,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6622,2,1007,0.8974,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6623,2,478,0.8462,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6624,2,910,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6625,2,854,0.8909,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6626,2,726,0.8766,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6627,2,633,0.9316,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6628,2,143,0.7417,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6629,2,109,0.8174,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6630,2,376,0.8726,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6631,2,76,1.0793,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6633,2,385,0.9293,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6636,2,832,0.8975,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6637,2,330,0.84,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6641,2,1065,0.8645,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6642,2,729,0.7934,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6643,2,163,1.0151,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6644,2,120,0.8721,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6645,2,294,0.7504,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6646,2,289,0.7389,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6647,2,198,0.8428,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6648,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6649,2,359,0.8312,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6650,2,290,0.8973,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6651,2,260,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6652,2,168,0.8081,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6654,2,202,0.9521,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6657,2,363,0.7285,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6658,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6659,2,260,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6660,2,165,1.0199,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6661,2,124,0.8896,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6662,2,233,1.0136,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6663,2,258,0.9099,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6664,2,208,0.8431,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6665,2,162,0.6111,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6666,2,236,0.8629,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6667,2,520,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6668,2,260,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6673,2,214,0.8062,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6674,2,200,0.7778,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6675,2,65,0.4134,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,6676,2,264,0.9214,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6677,2,253,0.9,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6678,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6679,2,34,0.5823,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6680,2,102,0.9428,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6682,2,672,0.8713,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6685,2,163,1.0151,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6687,2,660,0.8614,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6688,2,167,0.669,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6689,2,89,1.3507,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6690,2,52,0.1632,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,6691,2,90,0.9428,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6692,2,252,0.8979,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6693,2,92,1.199,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6698,2,186,0.365,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,6700,2,367,0.9364,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6701,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6702,2,32,0.6187,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6703,2,779,0.9132,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6704,2,378,0.8979,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6705,2,997,0.827,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6706,2,632,0.8995,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6707,2,166,1.0223,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6708,2,124,0.8896,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6712,2,884,0.8991,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6713,2,148,0.6307,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6715,2,410,0.7933,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6722,2,146,0.6587,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6723,2,138,0.9428,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6724,2,364,0.9091,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6725,2,112,1.0354,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6726,2,242,0.8181,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6727,2,282,0.9528,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6728,2,705,0.8606,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6730,2,187,0.8243,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6737,2,377,0.724,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6738,2,1009,0.9068,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6741,2,324,0.8119,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6747,2,280,0.899,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6748,2,358,0.6874,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6749,2,508,0.902,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6779,2,107,0.8062,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6780,2,64,0.4419,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,6790,2,66,1.0714,Low Coverage,Volatile,100.0,Not Eligible
2026-05-09,6796,2,260,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6806,2,109,0.6876,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6811,1,15,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,6817,2,195,0.9211,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6818,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6819,2,379,0.8993,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6821,2,383,0.9194,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6822,1,1,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,6828,2,130,0.9138,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,6834,1,18,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-09,7321,2,292,0.9686,Low Coverage,Moderate,100.0,Not Eligible
2026-05-09,8290,2,158,0.8235,Low Coverage,Moderate,100.0,Not Eligible
2026-05-10,11201,1,4,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-10,11692,1,8,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-10,12940,1,4,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-10,16717,1,16,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-10,16718,1,12,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-10,16719,1,4,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-10,18705,1,8,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-10,22638,1,8,0.0,Low Coverage,Stable,100.0,Not Eligible
